X,id,idLink,region,site,LandUse,SoilOrder,Year,pH,totalC,totalN,AMN,OlsenP_LR,OlsenP_Hills,bulkDensity,macroporosity-m05,macroporosity-m10,macroporositymin,macroporositymax,soillanduse,pHmin,pHmax,OlsenPmin,OlsenPmax,bulkDensitymin,bulkDensitymax,AMNmin,TotalNmin,TotalNmax,TotalCmin,OlsenP,macroporosity,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS
1094,1474,1440,Wellington,Wellington/1440,Drystock,Recent,2015,5.83,5.347,0.526,124.163,35.058,12,0.933,13.567,15.633,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,23.529,15.633,within,within,within,within,within,within,within,within,within
1095,1441,1441,Wellington,Wellington/1441,Crop_Hort,Recent,2010,6.37,1.231,0.123,13.401,154.391,,1.374,19.1,21,10,30,Recent/Crop_Hort,5,7.6,20,45,0.7,1.4,20,,,2,154.391,21,within,within,within,above,below,within,below,below,within
1096,1554,1441,Wellington,Wellington/1441,Crop_Hort,Recent,2014,6.35,1.398,0.153,16.167,196.441,167,1.573,5.867,7.4,10,30,Recent/Crop_Hort,5,7.6,20,45,0.7,1.4,20,,,2,181.7205,7.4,within,above,below,above,below,within,below,below,mix
1097,1442,1442,Wellington,Wellington/1442,Drystock,Pallic,2008,6.08,3.73,0.34,83,13,,1.105,13.767,16.5,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,13,16.5,within,within,within,below,within,within,within,within,within
1098,1473,1442,Wellington,Wellington/1442,Drystock,Pallic,2015,6.07,3.898,0.359,55.526,21.144,11,0.95,16.033,19.333,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,16.072,19.333,within,within,within,within,within,within,within,within,within
1099,1443,1443,Wellington,Wellington/1443,Crop_Hort,Gley,2010,6.03,2.998,0.307,59.299,32.171,,1.142,12.433,14.133,10,30,Gley/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,32.171,14.133,within,within,within,within,within,within,within,within,within
1100,1547,1443,Wellington,Wellington/1443,Crop_Hort,Gley,2014,6.11,2.815,0.31,81.106,24.541,19,1.137,10.067,11.367,10,30,Gley/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,21.7705,11.367,within,within,within,within,within,within,within,within,within
1101,1444,1444,Wellington,Wellington/1444,Drystock,Brown,2008,5.71,9.32,0.81,159,44,,0.922,13.533,18.1,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,44,18.1,within,within,within,within,within,above,within,above,within
1102,1481,1444,Wellington,Wellington/1444,Drystock,Brown,2015,5.45,8.682,0.754,163.413,47.204,28,0.88,7.833,11.567,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,37.602,11.567,within,within,within,within,within,above,within,above,within
1103,1445,1445,Wellington,Wellington/1445,Drystock,Pallic,2008,6.23,5.17,0.51,129,45,,1.179,2.2,4.667,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,45,4.667,within,within,below,within,within,within,within,within,below
1104,1480,1445,Wellington,Wellington/1445,Drystock,Pallic,2015,5.98,4.58,0.457,122.442,37.506,29,0.927,8.433,11.7,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,33.253,11.7,within,within,within,within,within,within,within,within,within
1105,1446,1446,Wellington,Wellington/1446,Drystock,Recent,2008,6.09,3.6,0.37,162,54,,1.327,7.733,9.1,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,54,9.1,within,within,below,above,within,within,within,within,below
1106,1479,1446,Wellington,Wellington/1446,Crop_Hort,Recent,2015,6.31,2.636,0.276,64.459,67.255,51,1.26,9.2,10.933,10,30,Recent/Crop_Hort,5,7.6,20,45,0.7,1.4,20,,,2,59.1275,10.933,within,within,within,above,within,within,within,within,within
1107,1447,1447,Wellington,Wellington/1447,Drystock,Pallic,2008,6.94,5.06,0.51,138,117,,1.147,5.3,7.033,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,117,7.033,above,within,below,above,within,within,within,within,below
1108,1477,1447,Wellington,Wellington/1447,Drystock,Pallic,2015,6.36,3.384,0.342,99.709,51.168,33,1.193,5.033,7.267,10,30,Pallic/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,42.084,7.267,within,within,below,within,within,within,within,within,below
