region,SoilOrder,pH,totalC,totalN,AMN,OlsenP_LR,bulkDensity,macroporosity-m05,macroporosity-m10,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS,LandUse
Waikato,Allophanic,6.94,9.345,0.882,153.84,45.125,0.73,2.7,4.37,within,within,below,within,within,within,within,within,below,Crop_Hort
Waikato,Allophanic,6.37,7.697,0.768,137.671,114.876,0.809,5.367,8.733,within,within,below,above,within,within,within,within,below,Crop_Hort
Waikato,Allophanic,7.13,6.893,0.709,111.467,92.693,0.81,5.13,8.77,within,within,below,above,within,within,within,within,below,Crop_Hort
Waikato,Allophanic,6.77,9.221,0.896,147.209,75.07,0.76,8.1,10.77,within,within,within,above,within,within,within,within,within,Crop_Hort
Wellington,Pallic,6.53,1.73,0.163,15.552,190.947,1.394,11.167,12.467,within,within,within,above,below,within,below,below,within,Crop_Hort
Wellington,Pallic,6.56,2.065,0.2,12.025,137.631,1.573,5,5.567,within,above,below,above,within,within,below,below,mix,Crop_Hort
Wellington,Recent,6.52,1.637,0.147,36.555,142.184,1.592,0.367,1.933,within,above,below,above,below,within,within,below,mix,Crop_Hort
Wellington,Recent,6.42,1.297,0.14,20.371,130.156,1.493,6.167,7.733,within,above,below,above,below,within,within,below,mix,Crop_Hort
Wellington,Brown,6.9,1.694,0.161,42.881,197.543,1.651,1,2.3,within,above,below,above,below,within,within,below,mix,Crop_Hort
Wellington,Brown,7.25,1.321,0.137,39.326,183.739,1.35,13.2,13.9,within,within,within,above,below,within,within,below,within,Crop_Hort
Wellington,Gley,5.57,4.656,0.326,29.279,151.443,1.06,19.167,20.533,within,within,within,above,within,within,within,within,within,Crop_Hort
Wellington,Gley,5.89,4.805,0.352,38.291,159.165,1.115,16.8,17.5,within,within,within,above,within,within,within,within,within,Crop_Hort
Wellington,Recent,5.76,1.463,0.142,15.76,241.476,1.337,16.2,17.433,within,within,within,above,below,within,below,below,within,Crop_Hort
Wellington,Recent,6.1,1.491,0.166,22.918,194.19,1.347,15.967,16.8,within,within,within,above,below,within,within,below,within,Crop_Hort
Wellington,Gley,6.02,2.593,0.239,44.879,183.747,1.265,9.267,10.667,within,within,within,above,within,within,within,within,within,Crop_Hort
Wellington,Gley,6.85,2.052,0.208,32.974,162.363,1.24,17.1,18.367,within,within,within,above,below,within,within,below,within,Crop_Hort
Wellington,Brown,6.24,2.898,0.277,39.823,35.39,1.102,16.267,18.1,within,within,within,within,within,within,within,within,within,Crop_Hort
Wellington,Brown,6.38,2.91,0.3,46.524,40.688,1.147,15.833,16.867,within,within,within,within,within,within,within,within,within,Crop_Hort
Wellington,Gley,6.12,3.153,0.32,65.527,29.68,1.244,4.3,6.233,within,within,below,within,within,within,within,within,below,Crop_Hort
Wellington,Gley,5.82,2.968,0.319,71.183,35.26,1.343,3.8,5.1,within,within,below,within,within,within,within,within,below,Crop_Hort
Wellington,Recent,6.37,1.231,0.123,13.401,154.391,1.374,19.1,21,within,within,within,above,below,within,below,below,within,Crop_Hort
Wellington,Recent,6.35,1.398,0.153,16.167,196.441,1.573,5.867,7.4,within,above,below,above,below,within,below,below,mix,Crop_Hort
Wellington,Gley,6.03,2.998,0.307,59.299,32.171,1.142,12.433,14.133,within,within,within,within,within,within,within,within,within,Crop_Hort
Wellington,Gley,6.11,2.815,0.31,81.106,24.541,1.137,10.067,11.367,within,within,within,within,within,within,within,within,within,Crop_Hort
Wellington,Recent,6.31,2.636,0.276,64.459,67.255,1.26,9.2,10.933,within,within,within,above,within,within,within,within,within,Crop_Hort
Wellington,Recent,5.66,3.088,0.316,90.1,36.428,1.367,4.267,6.933,within,within,below,within,within,within,within,within,below,Crop_Hort
Wellington,Recent,6.05,2.342,0.262,78.735,94.614,1.243,12.133,13.9,within,within,within,above,within,within,within,within,within,Crop_Hort
Wellington,Pallic,5.81,3.016,0.283,92.607,35.852,1.267,7.1,8.9,within,within,below,within,within,within,within,within,below,Crop_Hort
Wellington,Pallic,5.59,3.001,0.271,84.983,39.693,1.38,1.7,2.2,within,within,below,within,within,within,within,within,below,Crop_Hort
Wellington,Recent,7.33,1.419,0.15,25.921,139.441,1.375,16.567,18.733,within,within,within,above,below,within,within,below,within,Crop_Hort
Wellington,Pallic,5.97,2.911,0.296,74.627,32.324,1.22,7.433,9.867,within,within,below,within,within,within,within,within,below,Crop_Hort
Wellington,Gley,5.94,2.867,0.282,50.786,80.413,1.289,3.867,5.4,within,within,below,above,within,within,within,within,below,Crop_Hort
Wellington,Gley,6.4,2.841,0.29,48.352,85.798,1.207,7.8,9.667,within,within,below,above,within,within,within,within,below,Crop_Hort
Wellington,Recent,5.73,1.697,0.151,32.813,58.214,1.355,18.3,20.6,within,within,within,above,below,within,within,below,within,Crop_Hort
Wellington,Recent,5.78,2.332,0.22,65.158,53.138,1.177,24.5,26.967,within,within,within,above,within,within,within,within,within,Crop_Hort
Wellington,Gley,7.27,1.843,0.171,39.4,76.652,1.462,1.1,1.967,within,above,below,above,below,within,within,below,mix,Crop_Hort
Wellington,Gley,6.92,1.657,0.177,30.522,68.673,1.607,0.5,0.5,within,above,below,above,below,within,within,below,mix,Crop_Hort
Wellington,Recent,5.18,2.024,0.189,42.431,32.061,1.404,4.5,7.1,within,above,below,within,within,within,within,within,mix,Crop_Hort
Wellington,Recent,6.08,1.495,0.162,30.01,16.923,1.53,0.5,1.633,within,above,below,below,below,within,within,below,mix,Crop_Hort
Wellington,Gley,6.22,3.777,0.357,68.964,47.897,1.11,20.7,22.767,within,within,within,within,within,within,within,within,within,Crop_Hort
Wellington,Gley,6.76,4.268,0.358,100.366,113.05,1.15,17.733,21.233,within,within,within,above,within,within,within,within,within,Crop_Hort
